cliente_id,timestamp,consumo,unidad,medidor_id
CLI-001,2026-05-01 00:00:00,75.99,kWh,MTR-001
CLI-002,2026-05-01 00:00:00,594.25,kWh,MTR-002
CLI-003,2026-05-01 00:00:00,349.46,kWh,MTR-003
CLI-001,2026-05-01 01:00:00,82.3,kWh,MTR-001
CLI-002,2026-05-01 01:00:00,604.53,kWh,MTR-002
CLI-003,2026-05-01 01:00:00,328.75,kWh,MTR-003
CLI-001,2026-05-01 02:00:00,60.66,kWh,MTR-001
CLI-002,2026-05-01 02:00:00,620.49,kWh,MTR-002
CLI-003,2026-05-01 02:00:00,328.82,kWh,MTR-003
CLI-001,2026-05-01 03:00:00,,kWh,MTR-001
CLI-002,2026-05-01 03:00:00,631.41,kWh,MTR-002
CLI-003,2026-05-01 03:00:00,333.61,kWh,MTR-003
CLI-001,2026-05-01 04:00:00,83.93,kWh,MTR-001
CLI-002,2026-05-01 04:00:00,581.49,kWh,MTR-002
CLI-003,2026-05-01 04:00:00,353.9,kWh,MTR-003
CLI-001,2026-05-01 05:00:00,80.18,kWh,MTR-001
CLI-002,2026-05-01 05:00:00,612.54,kWh,MTR-002
CLI-003,2026-05-01 05:00:00,335.14,kWh,MTR-003
CLI-001,2026-05-01 06:00:00,606.35,kWh,MTR-001
CLI-002,2026-05-01 06:00:00,635.32,kWh,MTR-002
CLI-003,2026-05-01 06:00:00,348.18,kWh,MTR-003
CLI-001,2026-05-01 07:00:00,558.23,kWh,MTR-001
CLI-002,2026-05-01 07:00:00,519.62,kWh,MTR-002
CLI-003,2026-05-01 07:00:00,465.19,kWh,MTR-003
CLI-001,2026-05-01 08:00:00,509.61,kWh,MTR-001
CLI-002,2026-05-01 08:00:00,435.8,kWh,MTR-002
CLI-003,2026-05-01 08:00:00,464.5,kWh,MTR-003
CLI-001,2026-05-01 09:00:00,493.07,kWh,MTR-001
CLI-002,2026-05-01 09:00:00,444.89,kWh,MTR-002
CLI-003,2026-05-01 09:00:00,487.67,kWh,MTR-003
CLI-001,2026-05-01 10:00:00,498.32,kWh,MTR-001
CLI-002,2026-05-01 10:00:00,389.65,kWh,MTR-002
CLI-003,2026-05-01 10:00:00,499.01,kWh,MTR-003
CLI-001,2026-05-01 11:00:00,532.44,kWh,MTR-001
CLI-002,2026-05-01 11:00:00,386.61,kWh,MTR-002
CLI-003,2026-05-01 11:00:00,461.71,kWh,MTR-003
CLI-001,2026-05-01 12:00:00,526.77,kWh,MTR-001
CLI-002,2026-05-01 12:00:00,-112.09,kWh,MTR-002
CLI-003,2026-05-01 12:00:00,440.05,kWh,MTR-003
CLI-001,2026-05-01 13:00:00,530.2,kWh,MTR-001
CLI-002,2026-05-01 13:00:00,395.68,kWh,MTR-002
CLI-003,2026-05-01 13:00:00,490.72,kWh,MTR-003
CLI-001,2026-05-01 14:00:00,548.86,kWh,MTR-001
CLI-002,2026-05-01 14:00:00,377.15,kWh,MTR-002
CLI-003,2026-05-01 14:00:00,464.9,kWh,MTR-003
CLI-001,2026-05-01 15:00:00,514.78,kWh,MTR-001
CLI-002,2026-05-01 15:00:00,423.38,kWh,MTR-002
CLI-003,2026-05-01 15:00:00,460.38,kWh,MTR-003
CLI-001,2026-05-01 16:00:00,549.64,kWh,MTR-001
CLI-002,2026-05-01 16:00:00,480.52,kWh,MTR-002
CLI-003,2026-05-01 16:00:00,481.68,kWh,MTR-003
CLI-001,2026-05-01 17:00:00,29364.55,kWh,MTR-001
CLI-002,2026-05-01 17:00:00,494.86,kWh,MTR-002
CLI-003,2026-05-01 17:00:00,477.49,kWh,MTR-003
CLI-001,2026-05-01 18:00:00,550.24,kWh,MTR-001
CLI-002,2026-05-01 18:00:00,581.0,kWh,MTR-002
CLI-003,2026-05-01 18:00:00,460.59,kWh,MTR-003
CLI-001,2026-05-01 19:00:00,490.27,kWh,MTR-001
CLI-002,2026-05-01 19:00:00,613.49,kWh,MTR-002
CLI-003,2026-05-01 19:00:00,354.9,kWh,MTR-003
CLI-001,2026-05-01 20:00:00,496.94,kWh,MTR-001
CLI-002,2026-05-01 20:00:00,626.1,kWh,MTR-002
CLI-003,2026-05-01 20:00:00,332.47,kWh,MTR-003
CLI-001,2026-05-01 21:00:00,531.99,kWh,MTR-001
CLI-002,2026-05-01 21:00:00,611.23,kWh,MTR-002
CLI-003,2026-05-01 21:00:00,328.99,kWh,MTR-003
CLI-001,2026-05-01 22:00:00,74.71,kWh,MTR-001
CLI-002,2026-05-01 22:00:00,590.42,kWh,MTR-002
CLI-003,2026-05-01 22:00:00,345.24,kWh,MTR-003
CLI-001,2026-05-01 23:00:00,82.64,kWh,MTR-001
CLI-002,2026-05-01 23:00:00,579.96,kWh,MTR-002
CLI-003,2026-05-01 23:00:00,346.76,kWh,MTR-003
CLI-001,2026-05-02 00:00:00,63.31,kWh,MTR-001
CLI-002,2026-05-02 00:00:00,614.97,kWh,MTR-002
